Ano,Mês,Soma de Valor,População
2019,Nov,7757,6749649
2019,Out,8102,6749649
2019,Set,7216,6749649
2020,Abr,4158,6789290
2020,Ago,4729,6789290
2020,Dez,5575,6789290
2020,Fev,7916,6789290
2020,Jan,8410,6789290
2020,Jul,5167,6789290
2020,Jun,3920,6789290
2020,Mai,3747,6789290
2020,Mar,6537,6789290
2020,Nov,5502,6789290
2020,Out,5055,6789290
2020,Set,4761,6789290
2021,Abr,5182,6794785
2021,Ago,5123,6794785
2021,Dez,4721,6794785
2021,Fev,6007,6794785
2021,Jan,6111,6794785
2021,Jul,5355,6794785
2021,Jun,5021,6794785
2021,Mai,5214,6794785
2021,Mar,5913,6794785
2021,Nov,4576,6794785
2021,Out,4753,6794785
2021,Set,5153,6794785
2022,Abr,5432,6772682
2022,Ago,5340,6772682
2022,Dez,5477,6772682
2022,Fev,4811,6772682
2022,Jan,5015,6772682
2022,Jul,5383,6772682
2022,Jun,5272,6772682
2022,Mai,5257,6772682
2022,Mar,5599,6772682
2022,Nov,5546,6772682
2022,Out,5394,6772682
2022,Set,5379,6772682
2023,Abr,4565,0
2023,Ago,4157,0
2023,Fev,4369,0
2023,Jan,4552,0
2023,Jul,3676,0
2023,Jun,4193,0
2023,Mai,4981,0
2023,Mar,5119,0
2023,Out,4501,0
2023,Set,4113,0
