Ano,Mês1,Valor,População
2006,12,6999,6150714
2007,12,7611,6197637
2008,12,7301,6244917
2009,12,6190,6291020
2010,12,5011,6336534
2011,12,4674,6370271
2012,12,4165,6406820
2013,12,6233,6439828
2014,12,7014,6463250
2015,12,7457,6485889
2016,12,9399,6501393
2017,12,9895,6591928
2018,12,9162,6709314
2019,12,7510,6749649
2020,12,5575,6789290
2021,12,4721,6794785
2022,12,5477,6772682
